"adm4_pcode","adm4_en","adm3_en","adm2_en","adm1_en","year","date","uuid.x","freq.x","atm_count","atm_nearest","bank_count","bank_nearest","college_count","college_nearest","community_centre_count","community_centre_nearest","convenience_count","convenience_nearest","fire_station_count","fire_station_nearest","kindergarten_count","kindergarten_nearest","lighthouse_count","lighthouse_nearest","market_place_count","market_place_nearest","park_count","park_nearest","police_count","police_nearest","school_count","school_nearest","shelter_count","shelter_nearest","supermarket_count","supermarket_nearest","telephone_count","telephone_nearest","town_hall_count","town_hall_nearest","university_count","university_nearest","uuid.y","freq.y","clinic_count","clinic_nearest","dentist_count","dentist_nearest","doctors_count","doctors_nearest","hospital_count","hospital_nearest","optician_count","optician_nearest","pharmacy_count","pharmacy_nearest","uuid.x.1","freq.x.1","drinking_water_count","drinking_water_nearest","water_mill_count","water_mill_nearest","water_tower_count","water_tower_nearest","water_works_count","water_works_nearest","water_well_count","water_well_nearest","sanitary_dump_station_count","sanitary_dump_station_nearest","toilet_count","toilet_nearest","recycling_count","waste_basket_count","waste_basket_nearest","wastewater_plant_count","wastewater_plant_nearest","waste_transfer_station_count","waste_transfer_station_nearest","uuid.y.1","freq.y.1","poi_count","uuid","freq","osm_wetland_nearest","osm_reservoir_nearest","osm_water_nearest","osm_riverbank_nearest","osm_dock_nearest","osm_river_nearest","osm_stream_nearest","osm_canal_nearest","osm_drain_nearest","tave_avg","tmin_avg","tmax_avg","heat_index_avg","no2_avg","co_avg","so2_avg","o3_avg","pm10_avg","pm25_avg","brgy_healthcenter_pop_reached_pct_5min","brgy_healthcenter_pop_reached_pct_15min","brgy_healthcenter_pop_reached_pct_30min","hospital_pop_reached_pct_5min","hospital_pop_reached_pct_15min","hospital_pop_reached_pct_30min","rhu_pop_reached_pct_5min","rhu_pop_reached_pct_15min","rhu_pop_reached_pct_30min"
"PH015518001","Bacayao Norte","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001E57","Y",0,713.70182826436,0,266.545576666326,0,938.707523785068,0,10000,0,187.054786139246,0,334.038820446941,0,10000,0,10000,0,230.575045668786,0,2492.14939122707,0,2262.46997353151,7,0,0,10000,0,299.617218189384,0,10000,0,227.03064133698,0,410.916089454803,"OSMPH001E57","Y",0,10000,0,257.527322357348,0,261.115523792983,0,62.6997557041124,0,732.720405547255,0,192.913146768476,"OSMPS001D27","Y",0,10000,0,10000,0,10000,0,10000,0,1018.1507434611,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001E57","Y",8,"OSMWB001AE8","Y",1020.41628355257,10000,0,0,10000,0,4.92270267651437,0,0,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.31263736263736,0.0848145604395604,1.36313186813187,35.7949725274725,26.9198626373626,18.7968131868132,20.76,100,100,89.12,100,100,7.17,100,100
"PH015518002","Bacayao Sur","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001E55","Y",0,1789.95927704807,0,1037.00614433478,0,2065.36185578748,0,10000,1,0,0,1453.3945077327,0,10000,0,10000,0,374.868602671069,0,3643.91193216326,0,1676.90955415291,11,0,0,10000,0,1273.96999925317,0,10000,0,652.863614331641,0,1312.86383283101,"OSMPH001E55","Y",0,10000,0,1027.5867930522,0,912.271330015441,0,882.329522029123,0,1597.3590373632,0,1014.79143623295,"OSMPS001D25","Y",0,10000,0,10000,0,10000,0,10000,0,2155.79518979447,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001E55","Y",14,"OSMWB001AE6","Y",1531.6832043821,10000,0,212.30874376748,10000,0,249.176968208535,0,620.087174983986,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.31631868131868,0.0848456043956044,1.36266483516484,35.7731318681319,26.9478571428571,18.8161263736264,100,100,100,13.34,100,100,0,100,100
"PH015518003","Barangay II (Nueva)","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001C86","Y",0,224.251562435135,3,0,0,380.349795789156,0,10000,0,6.3249052452763,0,130.814724635245,0,10000,0,10000,0,1786.39363464321,0,1842.18746591518,0,2708.2544514607,1,0,0,10000,1,0,0,10000,0,1514.60935291628,0,127.132576048109,"OSMPH001C86","Y",0,10000,1,0,1,0,0,80.0680983815923,0,94.7783814258902,3,0,"OSMPS001E90","Y",0,10000,0,10000,0,10000,0,10000,0,415.156392825652,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001C86","Y",21,"OSMWB001917","Y",899.314986456507,10000,534.239025181769,0,10000,0,721.132034733037,0,269.858042808337,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.32046703296703,0.0848593406593407,1.36313186813187,35.753489010989,26.9936813186813,18.8478571428571,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54
"PH015518004","Barangay IV (Zamora)","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001C04","Y",0,134.643559477,0,10.2246477740169,0,902.478899753985,0,10000,2,0,0,577.394322855337,0,10000,0,10000,0,1999.95545061796,0,2067.90946908882,0,2196.39002609612,0,25.5169829516204,0,10000,1,0,0,10000,0,1768.33111708653,0,9.67300692432625,"OSMPH001C04","Y",0,10000,1,0,0,304.94318241657,1,0,0,105.966394673991,2,0,"OSMPS001D32","Y",0,10000,0,10000,0,10000,0,10000,0,899.397757181748,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001C04","Y",23,"OSMWB001895","Y",411.695567722147,10000,389.128040922234,184.261138136054,10000,209.840371061991,474.34414580252,0,474.597641442133,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.32192307692308,0.0848777472527473,1.36269230769231,35.7349725274725,26.9973351648352,18.8503846153846,100,100,100,100,100,100,96.98,100,100
"PH015518006","Bolosan","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001D38","Y",0,1496.20450365973,0,1253.39457161181,0,878.338352041261,0,10000,1,0,0,936.691791008979,0,10000,0,10000,0,1567.38958078784,0,2285.29356285648,1,0,20,0,0,10000,0,1144.87217523106,0,10000,1,0,0,686.08858548754,"OSMPH001D38","Y",0,10000,0,1715.3602277867,0,1830.79170248427,0,662.856647908389,0,2287.02550050838,0,1206.59858818217,"OSMPS001C09","Y",0,10000,0,10000,0,10000,0,10000,0,1757.89393556606,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001D38","Y",26,"OSMWB0019C9","Y",3128.91831849448,10000,26.1902035020535,0,10000,0,2.12025097675936,0,1258.00355022253,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.32024725274725,0.0849021978021978,1.36162087912088,35.7214285714286,26.999010989011,18.8492032967033,92.4,100,100,80.32,100,100,0,93.71,100
"PH015518007","Bonuan Binloc","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001D35","Y",0,5257.18329474696,0,5513.88577366435,0,5155.29408764946,0,10000,0,1352.63478983836,0,5377.23049105862,0,10000,0,10000,0,7288.21890051733,0,1753.24483560473,0,4876.62290516644,21,0,0,10000,0,4273.21155482928,0,10000,0,4874.09174381573,0,5253.80154618852,"OSMPH001D35","Y",0,10000,0,3979.95766313086,0,5538.93243372197,2,0,0,6214.4668674803,0,2969.98147472407,"OSMPS001C06","Y",0,10000,0,10000,0,10000,0,10000,0,5577.7005994393,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001D35","Y",26,"OSMWB0019C6","Y",7246.1143114897,10000,7.55256207626953,0,10000,0,2232.36303210494,1958.80432359523,6228.61807687478,27.4985205479452,24.5299178082192,31.301397260274,30.2864657534247,3.31620879120879,0.0849024725274725,1.35903846153846,35.6244505494506,26.9776098901099,18.8328296703297,74.95,100,100,0,79.17,100,0,0,100
"PH015518008","Bonuan Boquig","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001DC9","Y",0,1228.71504746545,0,1499.0861100681,0,1130.96552701655,0,10000,1,0,0,1564.96981366522,0,10000,0,10000,0,3545.92503474034,0,487.934819041037,0,2093.4035826669,40,0,0,10000,0,759.395010574383,0,10000,0,2095.69272524032,0,1504.43659569879,"OSMPH001DC9","Y",0,10000,0,757.083735674437,0,1512.12633255782,0,81.1191055709004,0,2186.66333814126,0,292.867683050213,"OSMPS001B87","Y",0,10000,0,10000,0,10000,0,10000,0,1567.450600199,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001DC9","Y",44,"OSMWB001A5A","Y",3234.75149350441,10000,0,0,10000,0,554.915223088281,995.001018690849,2299.70326888057,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.31398351648352,0.084925,1.35868131868132,35.7068956043956,27.0117032967033,18.8565934065934,79.73,100,100,2.81,93.51,100,0,0,100
"PH015518009","Bonuan Gueset","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001C88","Y",0,826.001112521922,0,1200.53700312185,0,706.793295309039,0,10000,7,0,0,1773.90745985483,0,10000,0,10000,0,3532.69627248389,2,0,0,2819.75346254567,51,0,0,10000,1,0,0,10000,0,2822.58379688543,0,1877.17798939856,"OSMPH001C88","Y",0,10000,1,0,0,1086.00192161518,1,0,0,1424.08988490624,2,0,"OSMPS001EAE","Y",0,10000,0,10000,0,10000,0,10000,0,1273.47759398385,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001C88","Y",103,"OSMWB001919","Y",2154.82271342695,10000,0,0,10000,0,859.701305066307,749.615683132867,2048.66755525481,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.31129120879121,0.0849848901098901,1.35695054945055,35.7010164835165,26.97,18.8274450549451,58.58,100,100,54.77,100,100,0,38.82,100
"PH015518010","Calmay","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001C85","Y",0,840.762771016151,0,229.277388293341,0,1481.7814736574,0,10000,0,683.845799143135,0,1691.75780522802,0,10000,0,10000,0,3134.1137962919,0,1787.72714137148,0,1931.28558138362,14,0,0,10000,0,577.80530561782,0,10000,0,1927.39045492746,0,1092.17644682264,"OSMPH001C85","Y",0,10000,0,732.763537528913,0,1102.83260539399,0,1015.82142402493,0,918.366869677998,0,223.251385546144,"OSMPS001E8F","Y",0,10000,0,10000,0,10000,0,10000,0,1666.47930838402,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001C85","Y",14,"OSMWB001916","Y",608.312517534953,10000,0,0,10000,0,1264.07948564319,1081.87260059016,1646.35190925343,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.31519230769231,0.0850046703296703,1.35472527472527,35.6930769230769,26.9299725274725,18.7997527472527,68.92,88.17,94.21,0,10.61,57.89,0,10.61,23.61
"PH015518011","Carael","Dagupan City","Pangasinan","Region I","2022",2022-01-01,"OSMPA001D36","Y",0,1482.20168165613,0,733.997467508012,0,2415.69340933759,0,10000,0,577.992317895136,0,2094.67967951647,0,10000,0,10000,0,2949.94512299256,0,3278.65284372181,0,1049.27117947988,21,0,0,10000,0,849.875213449526,0,10000,0,1046.37778243541,0,1305.13698638279,"OSMPH001D36","Y",0,10000,0,742.090019104395,0,908.172593728915,0,663.463754728679,0,949.08658125833,0,723.966626573606,"OSMPS001C07","Y",0,10000,0,10000,0,10000,0,10000,0,2407.94013013313,0,10000,0,10000,0,0,10000,0,10000,0,10000,"OSMPT001D36","Y",21,"OSMWB0019C7","Y",0,10000,0,0,10000,0,1069.36363741684,201.685245912194,980.126200120952,27.9765479452055,25.5446301369863,31.2177260273973,31.1852054794521,3.31516483516484,0.0831142857142857,1.74406593406593,35.6832142857143,26.9601923076923,18.8203846153846,69.83,71.63,100,0,0,74.47,0,0,0
